method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1,72354.5,0,0,0,0,66,1.4506380558,1,137,12.4817518248,0,139,520.751502791,1
2,70819.0,0,0,0,0,0,0.979344844818,1,137,15.5255474453,1,139,934.324710176,2
3,70819.0,0,0,0,0,0,0.635171175003,1,137,15.5255474453,1,139,934.324710176,3
1,72286.0,0,0,0,1,68,1.1528699398,1,137,13.5839416058,0,139,731.847681408,4
2,70819.0,0,0,0,1,0,0.63738489151,1,137,15.5255474453,1,139,934.324710176,5
3,70819.0,0,0,0,1,0,0.662658929825,1,137,15.5255474453,1,139,934.324710176,6
1,72275.0,0,0,0,2,70,1.12879300117,1,137,12.2773722628,0,139,516.996028338,7
2,70819.0,0,0,0,2,0,0.637868881226,1,137,15.5255474453,1,139,934.324710176,8
3,70819.0,0,0,0,2,0,0.634053945541,1,137,15.5255474453,1,139,934.324710176,9
1,72278.0,0,0,0,3,70,1.15700697899,1,137,13.3138686131,0,139,647.599291541,10
2,70819.0,0,0,0,3,0,0.639882087708,1,137,15.5255474453,1,139,934.324710176,11
3,70819.0,0,0,0,3,0,0.65965294838,1,137,15.5255474453,1,139,934.324710176,12
1,72400.5,0,0,0,4,72,1.13097596169,1,137,13.0072992701,1,139,549.139652211,13
2,70819.0,0,0,0,4,0,0.636657953262,1,137,15.5255474453,1,139,934.324710176,14
3,70819.0,0,0,0,4,0,0.641515016556,1,137,15.5255474453,1,139,934.324710176,15
1,72322.0,0,0,0,5,74,1.14917898178,1,137,13.1605839416,1,139,635.091670245,16
2,70819.0,0,0,0,5,0,0.637470960617,1,137,15.5255474453,1,139,934.324710176,17
3,70819.0,0,0,0,5,0,0.660005092621,1,137,15.5255474453,1,139,934.324710176,18
1,72251.0,0,0,0,6,71,1.13067984581,1,137,12.9270072993,1,139,630.391691713,19
2,70819.0,0,0,0,6,0,0.638857841492,1,137,15.5255474453,1,139,934.324710176,20
3,70819.0,0,0,0,6,0,0.634150981903,1,137,15.5255474453,1,139,934.324710176,21
1,72292.5,0,0,0,7,69,1.15284705162,1,137,13.1459854015,0,139,636.3608845,22
2,70819.0,0,0,0,7,0,0.635083913803,1,137,15.5255474453,1,139,934.324710176,23
3,70819.0,0,0,0,7,0,0.661576032639,1,137,15.5255474453,1,139,934.324710176,24
1,72279.5,0,0,0,8,75,1.12985801697,1,137,12.5109489051,0,139,624.237011593,25
2,70819.0,0,0,0,8,0,0.639596939087,1,137,15.5255474453,1,139,934.324710176,26
3,70819.0,0,0,0,8,0,0.634206056595,1,137,15.5255474453,1,139,934.324710176,27
1,72267.5,0,0,0,9,68,1.15297079086,1,137,12.2116788321,1,139,519.800450837,28
2,70819.0,0,0,0,9,0,0.636042118073,1,137,15.5255474453,1,139,934.324710176,29
3,70819.0,0,0,0,9,0,0.659044027328,1,137,15.5255474453,1,139,934.324710176,30
1,72254.5,0,0,1,0,73,1.12938499451,1,137,12.1459854015,1,139,527.875590382,31
2,70819.0,0,0,1,0,60,0.64618897438,1,137,15.1386861314,1,139,913.78209532,32
3,70824.0,0,0,1,0,31,0.642434835434,1,137,15.3649635036,1,139,934.571704594,33
1,72275.0,0,0,1,1,67,1.14641690254,1,137,12.3649635036,1,139,611.321704594,34
2,70823.0,0,0,1,1,58,0.62829208374,1,137,15.204379562,1,139,913.384392443,35
3,70819.0,0,0,1,1,48,0.673397064209,1,137,15.503649635,1,139,934.045942465,36
1,72267.5,0,0,1,2,71,1.12704610825,1,137,11.5328467153,1,139,504.309574925,37
2,70819.0,0,0,1,2,39,0.632181882858,1,137,15.1824817518,1,139,912.444396737,38
3,70819.0,0,0,1,2,49,0.622588157654,1,137,15.5255474453,1,139,934.177651353,39
1,72303.5,0,0,1,3,73,1.14797997475,1,137,12.9416058394,1,139,627.849506226,40
2,70820.0,0,0,1,3,42,0.635133981705,1,137,15.3868613139,1,139,924.209531988,41
3,70819.0,0,0,1,3,56,0.657381057739,1,137,15.0948905109,1,139,914.071811936,42
1,72309.5,0,0,1,4,72,1.1298520565,1,137,13.102189781,0,139,637.371833405,43
2,70819.0,0,0,1,4,48,0.638304948807,1,137,15.1313868613,1,139,914.703198798,44
3,70819.0,0,0,1,4,30,0.636654853821,1,137,15.4890510949,1,139,933.575246887,45
1,72333.5,0,0,1,5,72,1.1513068676,1,137,12.6496350365,1,139,618.626341778,46
2,70819.0,0,0,1,5,49,0.629845142365,1,137,15.1313868613,1,139,914.394375268,47
3,70820.0,0,0,1,5,53,0.665292978287,1,137,15.102189781,1,139,914.15124517,48
1,72405.5,0,0,1,6,70,1.13256311417,1,137,12.795620438,1,139,627.413804208,49
2,70819.0,0,0,1,6,33,0.637817144394,1,137,15.5255474453,1,139,934.133533705,50
3,70821.0,0,0,1,6,50,0.645437955856,1,137,15.5182481752,1,139,918.545620438,51
1,72337.0,0,0,1,7,76,1.14386701584,1,137,12.9051094891,1,139,632.115929584,52
2,70820.0,0,0,1,7,32,0.629575967789,1,137,15.700729927,1,139,938.343602404,53
3,70819.0,0,0,1,7,44,0.650725126266,1,137,15.503649635,1,139,934.619471876,54
1,72330.0,0,0,1,8,59,1.13259410858,1,137,12.4525547445,1,139,535.881923572,55
2,70819.0,0,0,1,8,26,0.637101888657,1,137,15.5255474453,1,139,934.471769,56
3,70819.0,0,0,1,8,46,0.638138055801,1,137,15.1386861314,1,139,913.693860026,57
1,72325.0,0,0,1,9,78,1.15083789825,1,137,13.102189781,1,139,644.960068699,58
2,70827.0,0,0,1,9,64,0.624821901321,1,137,15.6496350365,1,139,931.39104766,59
3,70827.0,0,0,1,9,64,0.648916006088,1,137,15.6496350365,1,139,931.39104766,60
1,72324.0,0,0,2,0,71,1.13743400574,1,137,12.0583941606,1,139,523.011270932,61
2,70821.0,0,0,2,0,55,0.640998125076,1,137,15.2408759124,1,139,911.772434521,62
3,70821.0,0,0,2,0,49,0.638384819031,1,137,15.4817518248,1,139,933.266208673,63
1,72194.5,0,0,2,1,62,1.15183186531,1,137,13.4598540146,1,139,735.838449979,64
2,70820.0,0,0,2,1,48,0.636383056641,1,137,15.2335766423,1,139,912.136217261,65
3,70819.0,0,0,2,1,47,0.661530017853,1,137,15.1532846715,1,139,914.174860455,66
1,72352.0,0,0,2,2,71,1.1446211338,1,137,12.5182481752,1,139,540.927973379,67
2,70827.0,0,0,2,2,54,0.637453079224,1,137,15.6788321168,1,139,930.99903392,68
3,70821.0,0,0,2,2,55,0.649701118469,1,137,15.5474452555,1,139,933.176041219,69
1,72308.5,0,0,2,3,67,1.15230202675,1,137,13.3649635036,1,139,633.968763418,70
2,70821.0,0,0,2,3,41,0.636041164398,1,137,15.5474452555,1,139,933.073100043,71
3,70823.0,0,0,2,3,52,0.654198884964,1,137,15.5620437956,1,139,932.630313439,72
1,72381.5,0,0,2,4,70,1.13274717331,1,137,13.6277372263,0,139,638.970695578,73
2,70819.0,0,0,2,4,55,0.626747846603,1,137,15.1386861314,1,139,913.811507085,74
3,70826.0,0,0,2,4,42,0.623064994812,1,137,15.5474452555,1,139,934.058394161,75
1,72324.0,0,0,2,5,77,1.15496706963,1,137,12.5255474453,1,139,543.089416058,76
2,70819.0,0,0,2,5,63,0.622732877731,1,137,15.1532846715,1,139,914.189566337,77
3,70820.0,0,0,2,5,45,0.652882099152,1,137,15.5766423358,1,139,933.510626878,78
1,72217.5,0,0,2,6,71,1.13019013405,1,137,12.5693430657,1,139,617.967582653,79
2,70819.0,0,0,2,6,63,0.628163814545,1,137,15.1532846715,1,139,914.483683985,80
3,70821.5,0,0,2,6,67,0.633921861649,1,137,15.4671532847,1,139,922.441927866,81
1,72267.5,0,0,2,7,71,1.15624785423,1,137,12.6277372263,1,139,632.705989695,82
2,70821.0,0,0,2,7,60,0.637434005737,1,137,15.1094890511,1,139,913.774688708,83
3,70827.0,0,0,2,7,47,0.643224000931,1,137,15.6642335766,1,139,932.092314298,84
1,72207.0,0,0,2,8,77,1.13548493385,1,137,12.5401459854,1,139,614.676685273,85
2,70823.0,0,0,2,8,50,0.639680147171,1,137,15.1678832117,1,139,913.24366681,86
3,70821.0,0,0,2,8,43,0.642544984818,1,137,15.5401459854,1,139,933.823744096,87
1,72325.5,0,0,2,9,67,1.1505010128,1,137,12.5693430657,0,139,539.526406183,88
2,70819.0,0,0,2,9,54,0.635653018951,1,137,15.1751824818,1,139,914.174967797,89
3,70823.0,0,0,2,9,53,0.65604019165,1,137,15.496350365,1,139,933.090060112,90
1,72276.0,0,0,3,0,70,1.13729596138,1,137,12.5693430657,0,139,616.173465006,91
2,70822.0,0,0,3,0,45,0.630926847458,1,137,15.4087591241,1,139,926.949334478,92
3,70827.0,0,0,3,0,63,0.632704019547,1,137,15.5839416058,1,139,932.23003435,93
1,72344.0,0,0,3,1,71,1.15278482437,1,137,11.9562043796,1,139,412.409832546,94
2,70821.0,0,0,3,1,62,0.631328821182,1,137,14.197080292,1,139,799.36528553,95
3,70822.0,0,0,3,1,59,0.654748916626,1,137,15.1313868613,1,139,914.085551739,96
1,72361.0,0,0,3,2,67,1.13206195831,1,137,13.1751824818,1,139,639.469085444,97
2,70821.5,0,0,3,2,63,0.632469892502,1,137,15.4817518248,1,139,921.530914556,98
3,70821.0,0,0,3,2,59,0.635502815247,1,137,15.0875912409,1,139,913.889330185,99
1,72247.5,0,0,3,3,77,1.15358185768,1,137,12.496350365,1,139,610.795942465,100
2,70819.0,0,0,3,3,58,0.637288093567,1,137,15.1386861314,1,139,913.914448261,101
3,70819.0,0,0,3,3,52,0.653856039047,1,137,15.0948905109,1,139,914.057106054,102
1,72309.5,0,0,3,4,76,1.13283491135,1,137,12.598540146,0,139,616.668527265,103
2,70824.0,0,0,3,4,69,0.632803916931,1,137,15.9124087591,1,139,940.845212538,104
3,70820.0,0,0,3,4,66,0.639398097992,1,137,15.1824817518,1,139,913.944396737,105
1,72303.0,0,0,3,5,72,1.1491689682,1,137,12.9562043796,0,139,635.99806784,106
2,70819.0,0,0,3,5,60,0.636976957321,1,137,15.1386861314,1,139,913.664448261,107
3,70821.0,0,0,3,5,46,0.649198055267,1,137,15.5474452555,1,139,933.249570631,108
1,72315.0,0,0,3,6,70,1.1332821846,1,137,11.897810219,1,139,439.989480464,109
2,70820.0,0,0,3,6,51,0.639822006226,1,137,15.1605839416,1,139,915.591670245,110
3,70821.0,0,0,3,6,61,0.646600008011,1,137,15.2335766423,1,139,912.592099614,111
