method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1,72351.5,0,0,0,0,66,3.01590394974,1,137,11.401459854,1,139,418.44793903,1
1,72239.5,0,0,0,1,60,3.02112698555,1,137,12.4233576642,1,139,603.790038643,2
1,72208.5,0,0,0,2,59,3.00664496422,1,137,12.2408759124,1,139,539.934199227,3
1,72320.5,0,0,0,3,61,3.01561903954,1,137,12.5328467153,1,139,536.044869043,4
1,72342.0,0,0,0,4,70,3.0262670517,1,137,12.6642335766,1,139,629.577608416,5
1,72345.5,0,0,0,5,68,3.00603723526,1,137,12.6058394161,1,139,519.122906827,6
1,72358.5,0,0,0,6,64,3.00245285034,1,137,12.4452554745,1,139,507.292936883,7
1,72289.0,0,0,0,7,67,3.00529408455,1,137,12.3211678832,0,139,530.572563332,8
1,72341.0,0,0,0,8,69,2.99752807617,1,137,13.102189781,1,139,626.268892228,9
1,72278.5,0,0,0,9,59,2.99657607079,1,137,11.9270072993,0,139,517.876985831,10
1,72313.5,0,0,1,0,70,3.00898718834,1,137,12.2919708029,1,139,531.414126234,11
1,72271.0,0,0,1,1,68,3.00828504562,1,137,11.8467153285,0,139,502.777801632,12
1,72317.5,0,0,1,2,65,3.01359605789,1,137,13.7518248175,0,139,733.996779734,13
1,72313.5,0,0,1,3,65,3.007584095,1,137,12.9197080292,1,139,536.618505796,14
1,72258.5,0,0,1,4,66,3.00528693199,1,137,13.1240875912,1,139,635.403606698,15
1,72339.0,0,0,1,5,67,3.01377606392,1,137,12.4890510949,1,139,536.589952769,16
1,72252.5,0,0,1,6,68,3.00395798683,1,137,12.0072992701,0,139,518.463181623,17
1,72304.0,0,0,1,7,61,3.00153803825,1,137,12.6569343066,0,139,529.212322885,18
1,72290.0,0,0,1,8,67,3.00492787361,1,137,11.5839416058,1,139,499.715328467,19
1,72275.0,0,0,1,9,64,3.02660083771,1,137,11.8905109489,0,139,520.112924002,20
1,72348.5,0,0,2,0,66,3.00435709953,1,137,12.4890510949,1,139,542.207599828,21
1,72322.5,0,0,2,1,67,3.00300312042,1,137,12.2408759124,1,139,522.022434521,22
1,72359.5,0,0,2,2,68,3.0128569603,1,137,11.5255474453,0,139,409.118827823,23
1,72288.5,0,0,2,3,70,3.01271510124,1,137,12.3722627737,1,139,534.205989695,24
1,72294.0,0,0,2,4,71,3.00700902939,1,137,12.9562043796,1,139,626.703950193,25
1,72356.0,0,0,2,5,70,3.01444482803,1,137,12.8102189781,1,139,617.801953628,26
1,72252.0,0,0,2,6,63,3.009319067,1,137,12.0145985401,0,139,509.808608845,27
1,72241.0,0,0,2,7,57,3.01155185699,1,137,11.2773722628,1,139,402.216616574,28
1,72331.5,0,0,2,8,68,3.01068282127,1,137,12.6277372263,1,139,536.191283813,29
1,72243.5,0,0,2,9,62,3.01426100731,1,137,13.0145985401,1,139,618.83802061,30
1,72232.0,0,0,3,0,66,3.01453280449,1,137,11.8102189781,1,139,494.743130099,31
1,72254.5,0,0,3,1,69,3.01325702667,1,137,11.4452554745,1,139,415.763525118,32
