method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1,72410.5,1,2,3,9,96,0.654438972473,1,137,12.4087591241,1,139,528.243452125,1558
2,0.0,1,2,3,9,-1,0.10410284996,1,1,0.0,0,0,nan,1559
3,0.0,1,2,3,9,-1,0.0861217975616,1,1,0.0,0,0,nan,1560
1,72393.5,1,2,4,0,82,0.651204109192,0,137,14.1240875912,1,139,754.933018463,1561
2,0.0,1,2,4,0,-1,0.100191116333,1,1,0.0,0,0,nan,1562
3,0.0,1,2,4,0,-1,0.0861768722534,1,1,0.0,0,0,nan,1563
1,72361.0,1,2,4,1,84,0.65048789978,1,137,12.8759124088,0,139,634.344783169,1564
2,0.0,1,2,4,1,-1,0.0900399684906,1,1,0.0,0,0,nan,1565
3,0.0,1,2,4,1,-1,0.103838920593,1,1,0.0,0,0,nan,1566
1,72325.0,1,2,4,2,94,0.654415130615,0,137,13.7518248175,0,139,733.276191498,1567
2,0.0,1,2,4,2,-1,0.0859339237213,1,1,0.0,0,0,nan,1568
3,0.0,1,2,4,2,-1,0.0857479572296,1,1,0.0,0,0,nan,1569
1,72314.5,1,2,4,3,84,0.665451049805,1,137,12.4744525547,1,139,534.883533705,1570
2,70894.0,1,2,4,3,67,0.629297018051,1,137,16.4306569343,1,139,1027.11464148,1571
3,0.0,1,2,4,3,-1,0.0861620903015,1,1,0.0,0,0,nan,1572
1,72382.5,1,2,4,4,93,0.679316997528,1,137,13.299270073,0,139,654.06419064,1573
2,0.0,1,2,4,4,-1,0.0887770652771,1,1,0.0,0,0,nan,1574
3,0.0,1,2,4,4,-1,0.0844969749451,1,1,0.0,0,0,nan,1575
1,72430.5,1,2,4,5,84,0.656085014343,1,137,12.8321167883,0,139,519.773078574,1576
2,0.0,1,2,4,5,-1,0.0959692001343,1,1,0.0,0,0,nan,1577
3,0.0,1,2,4,5,-1,0.0870389938354,1,1,0.0,0,0,nan,1578
1,72652.0,1,2,4,6,87,0.655752897263,1,137,13.0291970803,1,139,615.705023615,1579
2,0.0,1,2,4,6,-1,0.102765083313,1,1,0.0,0,0,nan,1580
3,0.0,1,2,4,6,-1,0.0844697952271,1,1,0.0,0,0,nan,1581
1,72371.0,1,2,4,7,87,0.653367042542,1,137,12.3868613139,1,139,515.621296694,1582
2,70884.0,1,2,4,7,66,0.635901927948,1,137,17.4598540146,1,139,1142.0737441,1583
3,0.0,1,2,4,7,-1,0.082102060318,1,1,0.0,0,0,nan,1584
1,72339.5,1,2,4,8,79,0.670994997025,1,137,13.299270073,0,139,643.225955346,1585
2,0.0,1,2,4,8,-1,0.083930015564,1,1,0.0,0,0,nan,1586
3,71046.4,1,2,4,8,57,0.663771867752,1,137,16.3211678832,1,139,1018.19021039,1587
1,72630.5,1,2,4,9,91,0.657266139984,1,137,13.1459854015,0,139,634.596178617,1588
2,0.0,1,2,4,9,-1,0.0872910022736,1,1,0.0,0,0,nan,1589
3,0.0,1,2,4,9,-1,0.0812590122223,1,1,0.0,0,0,nan,1590
1,72339.5,1,2,5,0,74,0.65721487999,1,137,13.2262773723,1,139,638.279304422,1591
2,70929.0,1,2,5,0,63,0.627667188644,1,137,15.897810219,1,139,931.195362817,1592
3,0.0,1,2,5,0,-1,0.104727983475,1,1,0.0,0,0,nan,1593
1,72460.0,1,2,5,1,86,0.653916120529,1,137,13.0510948905,1,139,524.401781881,1594
2,0.0,1,2,5,1,-1,0.0888931751251,1,1,0.0,0,0,nan,1595
