0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,36,9,48,29,37,7,3,34,35,31,30,13,4,62,63,5,33,8,57,59,58,56,49,50,17,15,19,20,21,16,22,65,38,39,40,42,41,14,66,67,47,25,11,10,27,28,6,53,54,55,51,52,43,44,46,45,32,61,2,18,24,60,64,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,7,5,3,4,18,11,19,20,21,22,24,12,52,51,36,29,37,59,57,58,60,55,38,54,17,8,10,9,25,26,53,33,32,31,35,34,66,44,45,28,13,16,27,15,43,47,61,62,63,49,48,40,41,42,39,50,46,56,30,23,64,67,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,22,18,23,19,20,24,15,17,25,26,14,11,16,64,65,46,47,48,55,56,57,58,53,54,8,3,5,6,7,2,1,6,33,34,35,36,37,28,51,52,45,27,4,21,32,44,49,59,60,61,62,63,38,39,40,41,42,43,31,9,10,50,67,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,17,10,12,8,11,3,34,33,32,31,30,6,29,23,24,28,27,26,65,64,63,62,61,60,22,21,20,19,18,9,16,47,41,40,39,38,37,35,54,53,52,5,4,7,25,49,42,59,58,57,56,55,48,46,45,44,43,15,14,50,13,67,51,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,32,31,13,20,30,41,56,57,58,59,60,17,21,61,62,53,54,55,46,47,48,49,2,26,14,5,27,28,29,6,7,63,22,23,24,38,39,11,15,16,40,10,1,12,42,65,33,50,51,52,3,4,34,35,36,37,45,44,8,25,9,67,66,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,11,40,13,30,33,31,32,36,35,34,3,63,64,65,25,14,26,52,53,54,55,43,44,45,46,47,48,49,50,51,66,17,18,19,20,21,1,39,38,37,15,56,2,23,62,29,57,58,59,42,41,5,6,7,8,28,4,27,60,16,61,67,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,33,32,31,35,7,20,3,34,21,6,4,27,30,19,8,10,44,43,41,65,36,50,26,42,9,13,12,64,5,47,63,45,39,38,37,62,25,23,18,17,61,11,60,54,51,55,15,29,28,57,58,46,56,49,48,59,22,16,53,14,52,67,40,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,16,20,22,19,18,3,2,4,9,10,17,5,7,6,11,25,60,61,32,33,34,35,24,62,63,23,36,37,38,39,40,26,29,30,31,41,42,49,64,65,50,51,52,8,43,44,45,55,56,57,58,59,28,27,53,54,12,21,13,46,47,66,48,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,32,10,35,7,33,30,9,5,34,25,8,12,31,59,60,29,28,36,55,56,57,58,37,40,17,14,19,21,20,15,16,64,41,42,43,46,45,13,53,52,51,2,4,11,50,54,27,61,62,63,38,39,44,47,49,48,26,23,22,18,3,67,65,24
