method, obj, restrictions,directeds,rejects,iter,changes,totalpur, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control,Run
1-30m,72242.5,1,1,0,1,64,2,3.13062810898,1,137,11.3941605839,1,139,414.431730356,422,30m
1-30m,72355,4,2,0,6,70,6,3.12900710106,1,137,12.299270073,0,139,513.593602404,1567,30m
1-30m,72336.5,4,0,3,9,68,7,3.128262043,1,137,13.2189781022,0,139,726.922284242,1480,30m
1-30m,72385.5,4,0,5,1,74,9,3.12755703926,1,137,11.4525547445,1,139,401.955452984,1492,30m
1-30m,72406,4,2,0,3,66,6,3.12614512444,1,137,12.7810218978,1,139,538.642872477,1564,30m
1-30m,72226.5,4,0,2,0,71,6,3.1256210804,0,137,13.0510948905,1,139,640.298840704,1461,30m
1-30m,72362.5,4,1,3,5,65,8,3.12177681923,1,137,12.7153284672,1,139,525.263954487,1536,30m
1-30m,72357.5,3,1,1,9,64,5,3.120221138,0,137,12.5620437956,1,139,620.203842851,1160,30m
1-30m,72413.5,2,1,1,2,72,4,3.11925387383,1,137,13.5547445255,0,139,662.689995706,793,30m
1-30m,72275.5,4,0,2,3,72,6,3.11914801598,1,137,11.9489051095,0,139,508.916487763,1464,30m
1-30m,72423.5,0,1,3,9,66,4,3.11903119087,1,137,14.4671532847,0,139,757.059574925,100,30m
1-30m,72226.5,2,1,3,6,72,6,3.11877512932,1,137,12.8832116788,0,139,628.530377845,817,30m
1-30m,72999,1,4,2,8,75,7,3.11835289001,1,137,13.1897810219,1,139,628.316659511,629,30m
1-30m,72428,4,5,0,2,73,9,3.11813187599,0,137,13.6788321168,1,139,557.910798626,1743,30m
1-30m,72343.5,4,0,5,2,73,9,3.11777496338,1,137,13.401459854,1,139,641.69793903,1493,30m
1-30m,72329.5,2,2,5,3,72,9,3.11752510071,1,137,13.7226277372,1,139,651.451910691,894,30m
1-30m,72403.5,4,2,0,7,71,6,3.11616587639,1,137,12.7591240876,1,139,534.875375698,1568,30m
1-30m,72333,3,0,4,7,61,7,3.11539888382,1,137,13.299270073,1,139,632.725955346,1128,30m
1-30m,72394.5,1,4,2,7,69,7,3.11501407623,1,137,13.6496350365,0,139,647.023400601,628,30m
1-30m,72326.5,4,0,4,4,68,8,3.11375689507,1,137,11.598540146,1,139,414.080291971,1485,30m
1-30m,72386,1,1,0,8,72,2,3.11226010323,1,137,13.6496350365,1,139,737.714577072,429,30m
1-30m,72411.5,3,0,5,9,70,8,3.11219501495,1,137,13.3868613139,1,139,657.194826106,1140,30m
1-30m,72389,1,0,5,8,69,6,3.11176109314,1,137,12.5255474453,1,139,520.971769,419,30m
1-30m,72320.5,1,1,1,7,64,3,3.10886120796,1,137,12.9124087591,0,139,639.139330185,438,30m
1-30m,72383.5,4,0,5,6,70,9,3.10475587845,1,137,12.7810218978,0,139,543.716401889,1497,30m
1-30m,72304,3,1,2,1,73,6,3.10464286804,1,137,12.1824817518,0,139,513.473808502,1162,30m
1-30m,72281,4,0,3,4,71,7,3.10405993462,0,137,13.1094890511,0,139,645.465865178,1475,30m
1-30m,72354.5,4,0,4,5,66,8,3.10249209404,1,137,13.5109489051,0,139,656.884070416,1486,30m
1-30m,72332,4,2,0,9,76,6,3.10166501999,1,137,12.8248175182,1,139,617.027908974,1570,30m
1-30m,72264,3,1,2,2,68,6,3.10138511658,0,137,12.795620438,1,139,621.663804208,1163,30m
1-30m,72392.5,1,1,3,5,71,5,3.10110402107,1,137,13.0802919708,0,139,544.118505796,456,30m
1-30m,72292.5,2,2,5,0,73,9,3.09823608398,1,137,11.9343065693,1,139,508.385358523,891,30m
1-30m,72246,4,0,4,9,71,8,3.09690213203,1,137,12.4817518248,1,139,632.339738085,1490,30m
1-30m,72382.5,4,0,5,0,73,9,3.09540820122,1,137,12.1532846715,1,139,522.45427222,1491,30m
1-30m,72377,3,1,5,6,76,9,3.09514498711,0,137,13.0145985401,0,139,636.911550021,1197,30m
1-30m,72291,4,0,4,7,73,8,3.09480786324,1,137,13.3430656934,0,139,648.771146415,1488,30m
1-30m,72281.5,3,1,4,3,73,8,3.09472823143,1,137,12.0875912409,1,139,519.374624302,1184,30m
1-30m,72337,1,1,3,6,73,5,3.09470105171,1,137,11.7737226277,1,139,419.01459854,457,30m
1-30m,72330.5,0,1,0,5,71,1,3.09452199936,1,137,13.9854014599,0,139,756.073314727,66,30m
1-30m,72316,3,1,5,8,68,9,3.09410691261,1,137,12.4379562044,0,139,537.350901675,1199,30m
1-30m,72224.5,2,4,0,4,72,6,3.09410405159,1,137,14.6058394161,1,139,766.417024474,965,30m
1-30m,72395.5,1,0,5,1,74,6,3.09380602837,1,137,12.5766423358,1,139,534.39297982,412,30m
1-30m,72441,1,5,2,8,80,8,3.09313511848,1,137,12.9562043796,1,139,548.05689137,689,30m
1-30m,72511,2,4,5,6,77,11,3.09254693985,1,137,14.1678832117,1,139,656.68484328,1017,30m
1-30m,72253,4,1,0,6,72,5,3.09196305275,1,137,12.8832116788,0,139,626.206848433,1507,30m
1-30m,72429.5,2,3,4,5,73,9,3.09106397629,1,137,13.0291970803,1,139,538.572670674,946,30m
1-30m,72246,0,1,4,1,62,5,3.09066581726,1,137,12.5401459854,1,139,536.132567626,102,30m
1-30m,72461.5,4,1,5,8,77,10,3.09057593346,1,137,12.1897810219,1,139,430.449012452,1559,30m
1-30m,72292,1,1,3,8,66,5,3.09054493904,1,137,12.0510948905,1,139,502.504723057,459,30m
1-30m,72434,2,1,1,4,65,4,3.09032797813,1,137,13.1240875912,1,139,628.433018463,795,30m
1-30m,72271.5,4,0,1,9,70,5,3.08829593658,1,137,12.7445255474,1,139,632.794547016,1460,30m
1-30m,72364,1,0,5,0,73,6,3.08825421333,1,137,13.2262773723,0,139,630.220480893,411,30m
1-30m,72387,1,0,3,7,69,4,3.08795809746,1,137,11.9124087591,0,139,412.668741949,398,30m
1-30m,72268,3,1,5,3,69,9,3.08764886856,1,137,12.1094890511,1,139,506.054100472,1194,30m
1-30m,72328,2,0,3,4,58,5,3.08748292923,0,137,13.1313868613,1,139,637.188492915,755,30m
1-30m,72304,1,1,2,4,66,4,3.08647990227,1,137,13.3722627737,1,139,648.353048519,445,30m
1-30m,72228.5,3,1,3,9,66,7,3.08606815338,1,137,11.795620438,1,139,502.663804208,1180,30m
1-30m,72382.5,2,4,2,2,65,8,3.08414411545,1,137,13.8832116788,1,139,645.662730786,983,30m
1-30m,72376.5,1,5,5,0,75,11,3.0838701725,1,137,13.2189781022,0,139,633.422284242,711,30m
1-30m,72309,1,1,4,7,71,6,3.08353900909,1,137,12.0364963504,1,139,512.961893517,468,30m
1-30m,72350.5,3,0,5,8,75,8,3.08343696594,1,137,13,1,139,633.705882353,1139,30m
1-30m,72402,4,0,4,6,71,8,3.08324408531,1,137,12.2262773723,0,139,517.338127952,1487,30m
1-30m,72377,1,1,2,6,70,4,3.08282113075,1,137,12.7737226277,0,139,531.029304422,447,30m
1-30m,72183,1,0,3,5,63,4,3.08269190788,1,137,12.3649635036,1,139,618.954057535,396,30m
1-30m,72392,1,0,4,9,65,5,3.08063602448,1,137,12.0437956204,1,139,424.012773723,410,30m
1-30m,72291,3,1,5,4,76,9,3.08054900169,1,137,11.7810218978,1,139,421.686990125,1195,30m
1-30m,72260.5,1,1,4,9,69,6,3.08041906357,0,137,13.802919708,1,139,743.61528553,470,30m
1-30m,72277.5,0,1,4,0,71,5,3.07864713669,1,137,12.8832116788,1,139,628.69214255,101,30m
1-30m,72357,3,1,5,7,74,9,3.0785908699,1,137,13.2116788321,1,139,638.241627308,1198,30m
1-30m,72413.5,2,3,4,3,71,9,3.07858300209,1,137,13.5255474453,1,139,555.839416058,944,30m
1-30m,72325,2,1,5,7,68,8,3.07828497887,1,137,13.5255474453,1,139,645.104121941,838,30m
1-30m,72396,2,4,4,8,78,10,3.07787585258,1,137,13.6934306569,1,139,635.817088879,1009,30m
1-30m,72358.5,2,4,2,0,71,8,3.07723021507,1,137,12.0875912409,1,139,421.683447832,981,30m
1-30m,72272,3,0,0,1,64,3,3.07717299461,1,137,13.204379562,0,139,650.73733362,1082,30m
1-30m,72383,2,4,4,7,75,10,3.07713985443,1,137,12.9635036496,1,139,548.050128811,1008,30m
1-30m,72343,1,4,0,6,71,5,3.07636880875,1,137,12.2627737226,1,139,507.489265779,607,30m
1-30m,72310.5,4,0,3,8,65,7,3.07600021362,1,137,12.0802919708,1,139,512.500858738,1479,30m
1-30m,72355,3,0,5,6,75,8,3.07594299316,0,137,13.197080292,1,139,616.541756119,1137,30m
1-30m,72207,4,0,5,7,71,9,3.07554006577,1,137,12.3357664234,1,139,524.371726063,1498,30m
1-30m,72327.5,0,1,4,2,68,5,3.0754981041,1,137,12.3211678832,0,139,523.131386861,103,30m
1-30m,72442,4,1,3,9,69,8,3.07515883446,1,137,12.0291970803,0,139,422.837376556,1540,30m
1-30m,72310.5,3,0,2,8,69,5,3.07426595688,1,137,13.5474452555,1,139,655.573100043,1109,30m
1-30m,72415.5,2,3,2,0,72,7,3.07392311096,1,137,12.7226277372,1,139,528.863675397,921,30m
1-30m,72361.5,4,0,4,2,60,8,3.07366394997,0,137,11.5255474453,1,139,408.398239588,1483,30m
1-30m,72313.5,3,0,0,2,66,3,3.07229685783,1,137,12.7445255474,1,139,619.603370545,1083,30m
1-30m,72251.5,3,0,0,3,65,3,3.07212996483,1,137,12.9343065693,1,139,638.900064405,1084,30m
1-30m,72274,2,2,2,5,73,6,3.07154202461,1,137,12.102189781,1,139,522.268892228,866,30m
1-30m,72307.5,3,0,5,7,62,8,3.07152700424,1,137,12.6496350365,1,139,611.111635895,1138,30m
1-30m,72277.5,4,0,4,1,72,8,3.07149600983,1,137,12.9562043796,0,139,629.365714899,1482,30m
1-30m,72404.5,4,2,0,4,71,6,3.07140493393,1,137,12.7883211679,0,139,518.300450837,1565,30m
1-30m,72324.5,3,0,5,4,67,8,3.07113313675,1,137,13.197080292,1,139,634.42410906,1135,30m
1-30m,72382.5,2,2,5,4,72,9,3.07080984116,1,137,12.5401459854,1,139,440.926685273,895,30m
1-30m,72213.5,2,3,3,7,66,8,3.07053208351,1,137,11.6569343066,1,139,421.727028768,938,30m
1-30m,72330,5,4,4,5,71,13,3.07036614418,0,137,13.3065693431,1,139,644.140618291,2086,30m
1-30m,72313.5,1,0,3,6,64,4,3.06983590126,1,137,11.7883211679,0,139,518.31515672,397,30m
1-30m,72331,3,1,2,0,65,6,3.06967401505,1,137,12.8467153285,1,139,549.116036926,1161,30m
1-30m,72319.5,4,0,1,2,72,5,3.06964015961,1,137,12.2481751825,0,139,520.864426793,1453,30m
1-30m,72259.5,3,0,4,8,69,7,3.06961011887,1,137,12.8394160584,1,139,630.150493774,1129,30m
1-30m,72343.5,0,1,0,3,66,1,3.06954598427,1,137,11.4671532847,1,139,399.059574925,64,30m
1-30m,72693.5,2,4,2,3,73,8,3.06939601898,1,137,12.4817518248,1,139,522.354443967,984,30m
1-30m,72403.5,2,2,2,4,75,6,3.06882095337,1,137,14.1678832117,1,139,674.905431516,865,30m
1-30m,72399.5,3,0,5,5,72,8,3.06841802597,1,137,12.6642335766,1,139,520.445255474,1136,30m
1-30m,72394.5,3,1,2,6,71,6,3.06838297844,1,137,12.6861313869,1,139,538.113997424,1167,30m
1-30m,72227.5,4,1,5,2,64,10,3.06741905212,1,137,11.7372262774,1,139,497.636324603,1553,30m
1-30m,72320,1,0,5,7,68,6,3.06738400459,1,137,12.8394160584,1,139,621.032846715,418,30m
1-30m,72262,4,1,0,5,63,5,3.06685304642,1,137,13.1459854015,0,139,644.478531559,1506,30m
1-30m,72313.5,1,0,5,3,64,6,3.06654405594,1,137,11.7372262774,1,139,507.886324603,414,30m
1-30m,72379,3,1,2,7,67,6,3.06623411179,1,137,12.3868613139,0,139,535.371296694,1168,30m
1-30m,72307.5,3,0,2,5,61,5,3.06620883942,1,137,12.1751824818,0,139,524.057320739,1106,30m
1-30m,72320,3,1,5,5,73,9,3.06600999832,1,137,13.2335766423,0,139,636.165629025,1196,30m
1-30m,72238.5,4,3,5,7,73,12,3.06586694717,1,137,12.7153284672,1,139,620.91101331,1678,30m
1-30m,72305.5,4,1,5,0,65,10,3.06557011604,1,137,13.7810218978,1,139,638.642872477,1551,30m
1-30m,72307,2,0,0,8,64,2,3.06508398056,1,137,12.0437956204,1,139,503.424538429,729,30m
1-30m,72315,4,0,2,1,63,6,3.06506085396,1,137,12.8905109489,1,139,632.495276943,1462,30m
1-30m,72559.5,1,4,0,1,71,5,3.06468200684,1,137,13.197080292,0,139,549.512344354,602,30m
1-30m,72287.5,3,1,5,0,76,9,3.06468081474,1,137,14.2262773723,0,139,750.176363246,1191,30m
1-30m,72332,3,1,2,3,61,6,3.06434202194,1,137,12.6788321168,1,139,535.719622155,1164,30m
