method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
2,70819.0,0,0,1,9,36,0.631560087204,1,137,15.0948905109,1,139,914.321811936,59
3,70819.0,0,0,1,9,59,0.664812088013,1,137,15.0948905109,1,139,913.836517819,60
1,72313.0,0,0,2,0,77,0.657446146011,1,137,12.8467153285,1,139,624.880742808,61
2,70831.0,0,0,2,0,47,0.622220039368,1,137,15.6715328467,1,139,931.781021898,62
3,70819.0,0,0,2,0,57,0.624353170395,1,137,15.2408759124,1,139,912.522434521,63
1,72444.0,0,0,2,1,75,0.679221868515,1,137,12.5474452555,1,139,520.808394161,64
2,70821.0,0,0,2,1,47,0.633495092392,1,137,15.5839416058,1,139,933.362387291,65
3,70819.0,0,0,2,1,53,0.650743961334,1,137,15.5693430657,1,139,933.629347359,66
1,72291.0,0,0,2,2,77,0.657459020615,1,137,13.7810218978,0,139,758.025225419,67
2,70819.0,0,0,2,2,44,0.635004997253,1,137,15.5693430657,1,139,933.908759124,68
3,70823.0,0,0,2,2,62,0.637421131134,1,137,15.1605839416,1,139,913.900493774,69
1,72255.5,0,0,2,3,77,0.67159485817,1,137,13.0510948905,1,139,711.078252469,70
2,70827.0,0,0,2,3,57,0.631115198135,1,137,15.3868613139,1,139,934.209531988,71
3,70823.0,0,0,2,3,61,0.662379026413,1,137,15.1094890511,1,139,914.083512237,72
1,72274.5,0,0,2,4,73,0.658281803131,1,137,12.2481751825,1,139,532.173250322,73
2,70823.0,0,0,2,4,67,0.635756969452,1,137,15.1167883212,1,139,913.103907256,74
3,70820.0,0,0,2,4,60,0.616370916367,1,137,15.1386861314,1,139,914.576212967,75
1,72297.0,0,0,2,5,73,0.681244134903,1,137,13.4525547445,1,139,731.631923572,76
2,70823.0,0,0,2,5,52,0.632158041,1,137,15.1751824818,1,139,913.674967797,77
3,70819.0,0,0,2,5,51,0.662712812424,1,137,15.503649635,1,139,934.237118935,78
1,72274.0,0,0,2,6,75,0.657184123993,1,137,13.8686131387,1,139,734.585551739,79
2,70819.0,0,0,2,6,55,0.635220050812,1,137,15.0729927007,1,139,914.097574066,80
3,70821.0,0,0,2,6,51,0.643322944641,1,137,14.5401459854,1,139,821.603155861,81
1,72333.5,0,0,2,7,65,0.680195808411,1,137,11.503649635,1,139,402.090060112,82
2,70820.0,0,0,2,7,44,0.635685920715,1,137,15.6423357664,1,139,929.922606269,83
3,70819.0,0,0,2,7,62,0.656121015549,1,137,15.1751824818,1,139,914.263203091,84
1,72367.0,0,0,2,8,79,0.65540099144,1,137,12.496350365,1,139,518.031236582,85
2,70819.0,0,0,2,8,57,0.62926697731,1,137,15.1605839416,1,139,912.547552598,86
3,70820.0,0,0,2,8,52,0.649194955826,1,137,15.5401459854,1,139,933.206097037,87
1,72326.5,0,0,2,9,77,0.672637939453,1,137,11.9708029197,1,139,507.043258909,88
2,70824.0,0,0,2,9,64,0.636022090912,1,137,15.1751824818,1,139,913.101438386,89
3,70820.0,0,0,2,9,51,0.653594970703,1,137,15.5620437956,1,139,933.159725204,90
1,72367.0,0,0,3,0,79,0.658337116241,1,137,13.5182481752,0,139,651.61914985,91
2,70825.0,0,0,3,0,70,0.642248153687,1,137,15.2700729927,1,139,920.301524259,92
3,70820.0,0,0,3,0,59,0.62803196907,1,137,15.197080292,1,139,912.527050236,93
1,72351.0,0,0,3,1,81,0.67822599411,1,137,14.0802919708,0,139,742.089094032,94
2,70827.5,0,0,3,1,65,0.628654003143,1,137,15.6788321168,1,139,933.30785745,95
3,70823.0,0,0,3,1,64,0.660970211029,1,137,15.0145985401,1,139,907.132138257,96
1,72268.0,0,0,3,2,79,0.658087968826,1,137,13.2262773723,1,139,737.617539717,97
2,70822.0,0,0,3,2,61,0.636382102966,1,137,15.5693430657,1,139,933.688170889,98
3,70823.5,0,0,3,2,68,0.625778913498,1,137,15.7591240876,1,139,945.301846286,99
1,72307.5,0,0,3,3,73,0.682660102844,1,137,11.8394160584,1,139,504.753434951,100
2,70825.0,0,0,3,3,70,0.632638216019,1,137,15.4306569343,1,139,925.482288536,101
3,70824.5,0,0,3,3,72,0.667062997818,1,137,15.4087591241,1,139,913.434628596,102
1,72282.5,0,0,3,4,76,0.660155057907,1,137,11.9197080292,1,139,527.500858738,103
2,70821.0,0,0,3,4,58,0.635507106781,1,137,15.1094890511,1,139,913.671747531,104
3,70821.5,0,0,3,4,64,0.635446071625,1,137,15.7445255474,1,139,945.588664663,105
1,72277.5,0,0,3,5,75,0.676732063293,1,137,13.1824817518,1,139,626.782632031,106
2,70820.0,0,0,3,5,61,0.63134098053,1,137,15.5182481752,1,139,936.472091026,107
3,70825.0,0,0,3,5,51,0.657007217407,1,137,15.5255474453,1,139,934.074710176,108
1,72377.0,0,0,3,6,78,0.656389951706,1,137,12.8394160584,0,139,628.885787892,109
2,70825.5,0,0,3,6,61,0.628414154053,1,137,15.8759124088,1,139,940.903606698,110
3,70822.5,0,0,3,6,70,0.639593839645,1,137,15.4817518248,1,139,922.825032203,111
1,72370.5,0,0,3,7,79,0.679838895798,1,137,11.598540146,1,139,416.359703736,112
2,70819.0,0,0,3,7,59,0.629127979279,1,137,15.1386861314,1,139,913.796801202,113
3,70825.0,0,0,3,7,59,0.649064064026,1,137,15.2189781022,1,139,913.289931301,114
1,72241.0,0,0,3,8,67,0.658004045486,1,137,12.8175182482,0,139,631.914984972,115
2,70825.0,0,0,3,8,59,0.631193876266,1,137,15.1167883212,1,139,912.971554315,116
3,70819.0,0,0,3,8,69,0.630550861359,1,137,15.1167883212,1,139,913.780377845,117
1,72304.5,0,0,3,9,74,0.681861877441,1,137,13.4817518248,1,139,647.133855732,118
2,70819.0,0,0,3,9,55,0.631760835648,1,137,15.2262773723,1,139,912.088127952,119
3,70828.0,0,0,3,9,64,0.659744024277,1,137,15.2189781022,1,139,914.289931301,120
1,72268.0,0,0,4,0,70,0.659633874893,1,137,11.6788321168,0,139,492.954916273,121
2,70831.0,0,0,4,0,66,0.633484840393,1,137,15.3868613139,1,139,914.680120223,122
3,70819.0,0,0,4,0,51,0.640944004059,1,137,15.5328467153,1,139,933.618398454,123
1,72341.0,0,0,4,1,74,0.673404932022,1,137,12.6569343066,1,139,616.697617003,124
2,70826.0,0,0,4,1,56,0.645384073257,1,137,15.7737226277,1,139,950.57342207,125
3,70821.0,0,0,4,1,54,0.658376932144,1,137,15.1824817518,1,139,911.356161443,126
1,72384.5,0,0,4,2,78,0.658869028091,1,137,12.7445255474,1,139,627.765135251,127
2,70824.0,0,0,4,2,46,0.624565839767,1,137,15.503649635,1,139,932.898883641,128
